chunk1,chunk2,value,explanation
A battery to a bulb,the bulb and the battery,5,EQUI
should connect,are,3,SIMI
in a closed path.,in a closed path,5,EQUI
is connected,is connected,5,EQUI
to the battery terminal.,to the negative battery terminal,4,SPE2
thebulb terminal,terminal 1,4,SPE2
in a closed path,in closed paths,4,SPE1
Bulb A and C,Bulbs A and C,5,EQUI
with the battery,with the battery,5,EQUI
still,still,5,EQUI
will be contained,are,4,SIMI
the voltage,different electrical states,3,REL
of the battery.,A battery,5,EQUI
to the battery,with the battery.,5,EQUI
a closed path,in the same closed path,4,SPE2
from terminal 1 and 2,Terminals 1 and 2,5,EQUI
between any two terminals.,"Terminals 1, 2 and 3",2,SPE2
within closed paths,in a closed path,4,SPE2
are contained,are,5,EQUI
Bulb A and B,bulbs A and B,5,EQUI
are,are,5,EQUI
on a path,in the same path,4,SPE2
"bulbs a, b, and c",A and C,3,SPE2
were,are,4,SIMI
on closed paths,in closed paths,5,EQUI
still,still,5,EQUI
contained,contained,5,EQUI
Bulbs A and C,Bulbs A and C,5,EQUI
with the batery,with the battery,5,EQUI
is connected,are connected,5,EQUI
Terminal five to the positive battery terminal.,Terminal 5 and the positive terminal,5,EQUI
electricity,different electrical states,4,REL
the battery,A battery,5,EQUI
terminal 1 to the positive terminal,Terminal 1 and the positive terminal,5,EQUI
is connected,are separated,4,OPPO
contained,are not,4,OPPO
"""bulb A""""s path switch Z""",Switch Y and bulb A in the same closed path,2,REL
"in an open path,",in a closed path,4,OPPO
was,was not,4,OPPO
Bulb C,Bulb C,5,EQUI
will be a gap,are not connected.,4,SIMI
between the positive battery terminal and the bulb terminal,the terminals,3,SPE1
is connected,is connected,5,EQUI
terminal 1,terminal 1,5,EQUI
to the negative battery terminal,to the negative battery terminal,5,EQUI
between the bulb terminal and the battery terminal.,the terminals,3,SPE1
is no connection,are not connected,5,EQUI
is not connected,are not connected,5,EQUI
terminal 1 to terminal 6.,Terminals 1 and 6,5,EQUI
for bulb a,Bulb A,5,EQUI
to a battery,with the battery.,5,EQUI
