chunk1,chunk2,value,explanation
at 91,aged 91,5,EQUI
dead,dies,5,EQUI
women,Saudi Women,5,EQUI
to compete,To Compete,5,EQUI
to permit,Allowed,5,EQUI
in Olympics,At Olympics,5,EQUI
in Pakistan,in Pakistan,5,EQUI
US drone strike,Drone strike,4,SPE1
kills,kills,5,EQUI
Syria peace plan conditions,Syria peace,2,SPE1
in Houla massacre,for Houla massacre,5,EQUI
mixed,higher,2,SIMI
Friday,midday Friday,4,SPE2
close,close,5,EQUI
China stocks,Chinese stocks,5,EQUI
used,used,5,EQUI
Mall attackers,attackers,4,SPE1
` less is more ' strategy,` less is more ' strategy,5,EQUI
strikes off,strikes off,5,EQUI
6.8 quake,Magnitude 6.3 quake,4,SIMI
Solomon Islands,Solomon Islands,5,EQUI
opposition coalition,opposition,5,EQUI
Friends,Friends,5,EQUI
recognizes,recognize,5,EQUI
as legitimate representative,as sole representative,4,SIMI
of Syria,of Syria,5,EQUI
7,7,5,EQUI
detained,detains,5,EQUI
for ` house sister ' scandal,for `` house sister '' scandal,5,EQUI
takes a beating,tumbles,5,EQUI
Boeing 787 Dreamliner,on 787 Dreamliner,5,EQUI
stock,Boeing stock,5,EQUI
catches fire,after fire,5,EQUI
abduct,kidnapped,5,EQUI
in Nigeria,in Nigeria,5,EQUI
seven foreign workers,Seven foreign workers,5,EQUI
"in West Bank , Jerusalem",in W. Bank,5,EQUI
clash with,clash with,5,EQUI
Palestinians,Palestinians,5,EQUI
Israeli forces,security forces,5,EQUI
killed,killed,5,EQUI
in Pakistan,in NW Pakistan,4,SPE2
in bus accident,in road accident,4,SPE1
12,10,4,SIMI
North Korea,North Korea,5,EQUI
Postpones,postpones,5,EQUI
Family Reunions,family unions,5,EQUI
with South,with South Korea,5,EQUI
David Beckham,David Beckham,5,EQUI
Retirement,retires,5,EQUI
From Soccer,from football,5,EQUI
Man,Man,5,EQUI
on National Mall,on National Mall,5,EQUI
Dies,dies,5,EQUI
Who Set Himself on Fire,who set himself ablaze,5,EQUI
's Prime Minister,'s prime minister,5,EQUI
Shinzo Abe,Shinzo Abe,5,EQUI
as Japan,Japan,5,EQUI
Selected,is,4,SIMI
in a coma,in a coma,5,EQUI
Schumacher,Michael Schumacher,5,EQUI
after ski accident,skiing accident,5,EQUI
Bradley Cooper and JJ Abrams,Bradley Cooper,3,SPE1
in talks,in talks,5,EQUI
a Lance Armstrong biopic,Lance Armstrong,4,SPE1
about filming,to play,3,REL
horsemeat scandal,over horse meat scandal,5,EQUI
EU ministers,EU ministers,5,EQUI
Thai opposition party,Thai opposition,5,EQUI
general election,election boycott,4,SPE1
in Seemandhra,in Seemandhra,5,EQUI
to hospital,in hospital,5,EQUI
Jagan Reddy,Jagan,5,EQUI
continues,continues,5,EQUI
power crisis,blackout,5,EQUI
as Maracana re-opens,as Maracana re-opens,5,EQUI
by England,by England,5,EQUI
2-2,2-2,5,EQUI
Brazil,Brazil,5,EQUI
warns against,weighs into,3,SIMI
George W. Bush,George W Bush,5,EQUI
bitter immigration debate,immigration debate,4,SPE1
Hundreds,Hundreds,5,EQUI
of Bangladesh clothes factory workers,in Bangladesh factory,3,SPE1
ill,sick,5,EQUI
conducts,launches,5,EQUI
on Syria,against Syria,5,EQUI
Israel,Israel,5,EQUI
airstrike,new airstrike,4,SPE2
Around 100 dead or injured,Hundreds dead or injured,3,SIMI
after China earthquake,in China quake,5,EQUI
2 French Journalists,Two French journalists,5,EQUI
Killed,killed,5,EQUI
in Mali,in Mali,5,EQUI
in collapsed Japan tunnel,from Japan tunnel,4,SPE1
ablaze,left burning,5,EQUI
Vehicles,Vehicles,5,EQUI
attack,attack,5,EQUI
Islamists,Islamists,5,EQUI
north Mali city,in Gao,4,SPE2
fiscal cliff deal,on `` fiscal cliff '',4,SIMI
approves,reached,5,EQUI
higher,higher,5,EQUI
China stocks,China stocks,5,EQUI
close,close,5,EQUI
convicted,Fined,4,SIMI
of tax evasion,in Italian Tax Case,4,SPE2
Dolce and Gabbana,Dolce and Gabbana,5,EQUI
on Syrian chemical arms,over Syria chemical claims,3,REL
UK alert,West,3,SPE1
in plane crash,in plane crash,5,EQUI
Mexican singer Jenni Rivera,Jenni Rivera,4,SPE1
