chunk1,chunk2,value,explanation
standing,is,5,EQUI
on tree branches,on tree branches,5,EQUI
A cat,A black and white cat,4,SPE2
A large boat,A large boat,5,EQUI
in the water,on the sea,4,SPE2
A passenger train,A passenger train,5,EQUI
waiting,sits,4,SIMI
in a station,in the station,5,EQUI
on the floor,on the floor,5,EQUI
sitting,sitting,5,EQUI
An Apple computer,A Macintosh computer,5,EQUI
A jockey,A jockey,5,EQUI
a horse,a horse,5,EQUI
riding,riding,5,EQUI
A woman,A young girl,4,SIMI
a brown horse,a brown horse,5,EQUI
riding,riding,5,EQUI
sleeps,asleep,5,EQUI
A man,A man,5,EQUI
with a baby,holding a baby,4,SPE2
in front of yellow flowers,in a field,2,SIMI
standing,standing,5,EQUI
A black dog,A black dog,5,EQUI
in afield,in a field,5,EQUI
standing,grazing,3,SPE2
sheep,A sheep,5,EQUI
standing,stands,5,EQUI
A dark brown horse,A brown horse,4,SPE1
in a field,in a lush green field,3,SPE2
with food,with food and beer,4,SPE2
of people,of people,5,EQUI
around a table,around a table,5,EQUI
A group,A group,5,EQUI
sitting,sit,5,EQUI
A brown horse,A brown horse,5,EQUI
in a lush green field,in a green field,4,SPE1
with two cats,with two cats,5,EQUI
at her feet,at her feet,5,EQUI
in a kitchen,in the kitchen,5,EQUI
stands,is standing,5,EQUI
An elderly woman,The old lady,5,EQUI
Red double decker bus,Double decker passenger bus,4,SPE1
through the streets,with traffic,3,REL
driving,driving,5,EQUI
in a cluttered room,in a cluttered room,5,EQUI
sitting,lies,4,SIMI
A man,A man,5,EQUI
walking,walking,5,EQUI
under trees,under the tree,4,SIMI
Black cow,Cow,4,SPE1
in pasture,in a pasture,5,EQUI
A smiling woman,Two women,3,SIMI
with another smiling woman,laughing,2,REL
sitting,sitting,5,EQUI
outside,outside,5,EQUI
with a big necklace,with a black top and a necklace,3,SPE2
a woman,A young woman,4,SPE2
in grass,in a grassy area,5,EQUI
standing,standing,5,EQUI
Brown and white cow,A brown and white cow,5,EQUI
a horse,a horse,5,EQUI
riding,rides,5,EQUI
A jockey,A jockey,5,EQUI
rides,rides,5,EQUI
A person,A person,5,EQUI
a bike,a bike,5,EQUI
a helmet,a bike helmet,5,EQUI
wearing,wearing,5,EQUI
of horses,of horses,5,EQUI
grazing,grazing,5,EQUI
Group,A group,5,EQUI
in grassy field,in a field,4,SPE1
a helmet,a bike helmet,5,EQUI
A young blonde girl,A young girl,4,SPE1
behind her,in the background,5,EQUI
with a red bicycle,with a bicycle,4,SPE1
wearing,wearing,5,EQUI
A striped cat,Domestic cat,3,SIMI
laying down,laying,5,EQUI
of cat litter,of cat litter,5,EQUI
Five birds,Several cardinals,3,SIMI
on the snow,in the snow,5,EQUI
stand,stand,5,EQUI
posing,is standing,4,SPE1
by a pillar,by a pillar,5,EQUI
A woman,a woman,5,EQUI
with a U2 sign,where `` u2 '' is written,5,EQUI
A red moped,The red scooter,4,SPE2
parked,is sitting,4,SIMI
on a sidewalk,on the street,4,SPE1
in front of graffiti,in front of the building,3,REL
on couch,on a couch,5,EQUI
Two dogs and one cat,Two dogs and a cat,5,EQUI
sitting,resting,4,SIMI
with their thumbs up,the thumbs up sign,5,EQUI
One Asian and one occasion woman,Two women,2,SPE1
smiling,are posing,3,REL
in front of an alpine lake,"next to a mountain , and a body",4,SIMI
grazing,grazing,5,EQUI
Two mountain goats,Two animals,1,SPE1
in a station,at the city train station,4,SPE2
waiting,waiting,5,EQUI
A passenger train,A passenger train,5,EQUI
A bicycle,A bicycle,5,EQUI
is parked,is parked,5,EQUI
by a shop,outside a bookstore,4,SPE2
in a black leather chair,on a leather chair,4,SPE1
A orange and white cat,A ginger and white cat,4,SPE2
laying,asleep,4,SIMI
on train tracks,on the train tracks,5,EQUI
Black train,A train,4,SPE1
on a black couch,on couch,4,SPE1
Young couple,Young couple,5,EQUI
sitting,sitting,5,EQUI
on a couch,on couch,5,EQUI
A couple,Young couple,4,SPE2
posing,sitting,3,REL
Red double decker bus,Red double decker bus,5,EQUI
A group,A group,5,EQUI
sitting,sitting,5,EQUI
at a restaurant table,around a table,4,SPE1
of people,of people,5,EQUI
napping,sleeping,4,SIMI
under a small table,under a table,4,SPE1
a dog,A dog,5,EQUI
on water,on the water,5,EQUI
A boat,Sail boat,4,SPE2
is sailing,sailing,5,EQUI
a small baby,a baby,4,SPE1
holding,holding,5,EQUI
A smiling woman,Two smiling women,4,SIMI
Red double decker bus,A red double decker bus,5,EQUI
of street,on a city street,4,SPE2
the window,of a window,5,EQUI
looking out,looking out,5,EQUI
Gray cat,A cat,4,SPE1
on the tracks,on the train track,4,SIMI
sitting,are sitting,5,EQUI
Two green and white trains,Two green and white trains,5,EQUI
the camera,the camera,5,EQUI
A cat,"A gray , black , and white cat",3,SPE2
looking at,looking at,5,EQUI
A gray cat,A gray cat,5,EQUI
on a wooden table,on a dining table,4,SIMI
lying,laying,5,EQUI
in a chair,on chair,5,EQUI
with a baby,with infant,5,EQUI
A father,Man,3,SPE1
napping,sleeping,4,SIMI
on tree branch,on a tree branch,5,EQUI
perched,perched,5,EQUI
Green and white bird,Bird,4,SPE2
A red and white plane,Red and white plane,5,EQUI
flying,flying,5,EQUI
with a viking hat,a viking hat,5,EQUI
a woman,Smiling woman,4,SPE2
on,wearing,4,SIMI
standing,stands,5,EQUI
underneath a chair,on the floor,4,SPE1
A small white cat,A white cat,4,SPE1
at a table,around a table,5,EQUI
of people,of elderly people,4,SPE2
A group,Group,5,EQUI
eat,sitting,3,REL
standing,stands,5,EQUI
A bull,A brown horse,2,SIMI
in the field,in a lush green field,2,SPE2
jumping,playing,4,REL
at a table,around a dining table,2,SPE2
A group,A group,5,EQUI
of people,of elderly people,4,SPE2
are looking at,looking out,4,SIMI
Two cats,A white cat,2,SIMI
a window,of a window,5,EQUI
in the background,in the background,5,EQUI
with a horse,with other lambs,2,SIMI
perched,is perched,5,EQUI
A small red and gray bird,A red and brown bird,3,SIMI
amongst the bare branches,on branches,3,SPE1
on a rural road,along a dirt road,2,SIMI
is driving,driving,5,EQUI
Three young women,Two Indian women,2,SIMI
in a field,in a field,5,EQUI
of sheep,of horses,2,SIMI
A group,A group,5,EQUI
in a green pasture,in the pasture,4,SPE1
Two white cows,The tan horse,1,SIMI
at a table,at a table,5,EQUI
Two people,four people,4,SIMI
sitting,sitting,5,EQUI
A women,A man and two women,2,SPE2
sitting,sitting,5,EQUI
on a sofa,on a blue sofa,4,SIMI
Black and white cat,The black and white cat,5,EQUI
lying,lounges,3,SIMI
under bush,in the dirt,1,REL
at the camera,at the camera,5,EQUI
is looking,looking,5,EQUI
The lamb,A cat,2,SIMI
A black and white photo,A black and white photo,5,EQUI
A black and white cat,Black and white lamb,2,SIMI
posing,are posing,5,EQUI
for the camera,for the camera,5,EQUI
A man and small child,A man and woman,3,SIMI
A black vehicle,A black car,4,SPE2
parked,parked,5,EQUI
The black and white bull,A black and white dog,2,SIMI
at the camera,at the camera,5,EQUI
is looking,looking,5,EQUI
in the background,in the background,5,EQUI
of sheep,A white cat,1,SIMI
